                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.75716,                0.63557,                0.06401,                0.60898,                0.39541,                 0.4774,                0.25223,                0.61346,                 0.7994,                0.04627,               0.005512,               0.005512,               0.005512
                     70,                0.61233,                 0.6071,                 0.0509,                0.61059,                0.40679,                 0.4881,                0.26083,                0.60844,                 0.7965,                0.04598,               0.005446,               0.005446,               0.005446
                     71,                0.60406,                0.59643,                0.04975,                 0.6014,                  0.411,                0.49448,                0.26346,                0.60563,                0.79721,                0.04565,                0.00538,                0.00538,                0.00538
                     72,                0.59223,                0.57451,                0.04808,                0.61725,                0.42102,                0.50779,                 0.2642,                0.61216,                0.79257,                0.04604,               0.005314,               0.005314,               0.005314
                     73,                0.61691,                0.56799,                0.05003,                0.61293,                 0.4323,                0.51731,                0.26211,                0.61182,                0.79457,                0.04598,               0.005248,               0.005248,               0.005248
                     74,                0.61559,                0.57048,                0.04957,                0.60553,                0.44047,                0.52122,                0.25654,                0.61624,                0.79268,                0.04619,               0.005182,               0.005182,               0.005182
                     75,                0.63793,                0.55352,                0.05164,                0.60963,                0.44614,                0.52927,                0.25559,                0.61213,                 0.7942,                0.04632,               0.005116,               0.005116,               0.005116
                     76,                0.68209,                0.56388,                0.05559,                0.60753,                0.45675,                0.53472,                 0.2541,                0.61417,                0.79135,                 0.0465,                0.00505,                0.00505,                0.00505
                     77,                0.73725,                 0.5886,                0.06076,                0.60814,                0.46047,                0.53409,                0.24773,                0.61954,                0.78905,                0.04668,               0.004984,               0.004984,               0.004984
                     78,                0.77976,                0.58872,                0.06375,                0.60949,                0.45829,                0.53452,                0.24452,                0.62267,                0.78663,                0.04689,               0.004918,               0.004918,               0.004918
                     79,                0.70583,                0.59837,                0.05943,                0.61372,                0.46084,                0.53592,                0.24608,                0.61915,                0.78885,                0.04673,               0.004852,               0.004852,               0.004852
                     80,                0.75647,                0.60411,                0.06178,                0.61964,                0.46195,                0.53564,                0.24215,                0.62402,                 0.7885,                0.04699,               0.004786,               0.004786,               0.004786
                     81,                0.80421,                0.59755,                  0.075,                 0.6278,                0.46618,                0.53975,                0.24833,                0.61928,                0.78582,                0.04647,                0.00472,                0.00472,                0.00472
                     82,                0.59539,                0.57409,                0.04923,                0.62771,                0.47008,                0.54316,                0.25933,                0.61385,                0.77999,                0.04594,               0.004654,               0.004654,               0.004654
                     83,                0.60931,                0.55196,                0.04906,                0.64763,                0.47825,                0.55135,                0.27216,                0.60593,                 0.7724,                0.04533,               0.004588,               0.004588,               0.004588
                     84,                0.80631,                 0.5725,                0.06561,                0.64259,                0.49021,                0.55869,                0.28682,                 0.5924,                0.77292,                0.04478,               0.004522,               0.004522,               0.004522
                     85,                0.81049,                0.58779,                0.07023,                0.64802,                0.49902,                0.56732,                0.29731,                0.58731,                0.76859,                0.04462,               0.004456,               0.004456,               0.004456
                     86,                0.65056,                0.55741,                0.05216,                0.64273,                0.50895,                0.57298,                0.30302,                0.58671,                 0.7632,                0.04441,                0.00439,                0.00439,                0.00439
                     87,                0.79525,                0.61316,                0.06649,                0.64206,                0.51272,                0.57603,                0.30882,                0.58042,                0.76763,                0.04408,               0.004324,               0.004324,               0.004324
                     88,                0.61006,                0.57334,                0.04797,                0.64832,                0.51549,                0.57888,                0.31237,                0.58232,                0.76201,                0.04421,               0.004258,               0.004258,               0.004258
                     89,                0.54339,                0.53233,                0.04298,                0.65081,                0.52024,                0.58417,                0.31582,                0.57544,                0.76506,                0.04403,               0.004192,               0.004192,               0.004192
                     90,                 0.6685,                0.56822,                0.05198,                0.65669,                0.52449,                0.59236,                0.31992,                0.57395,                0.76335,                0.04376,               0.004126,               0.004126,               0.004126
