                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                  1.081,                0.69104,                0.06255,                 0.4986,                0.25179,                0.18634,                0.08558,                 0.6889,                 0.8982,                0.04043,               0.007987,               0.007987,               0.007987
                     63,                 1.1239,                0.68162,                0.07158,                0.48653,                0.21623,                0.16579,                0.07845,                0.67737,                0.98706,                0.04024,               0.007954,               0.007954,               0.007954
                     64,                 1.0171,                0.74035,                0.05772,                0.50832,                0.25654,                0.18642,                0.10586,                0.55614,                 1.0686,                0.03259,               0.007921,               0.007921,               0.007921
                     65,                0.98481,                0.73764,                 0.0574,                0.52897,                 0.2551,                 0.1988,                0.10762,                0.57357,                 1.0352,                0.03276,               0.007888,               0.007888,               0.007888
                     66,                 1.0434,                0.70481,                0.05968,                0.50959,                0.28088,                 0.2054,                0.11226,                0.55351,                  1.037,                0.03204,               0.007855,               0.007855,               0.007855
                     67,                0.97352,                 0.7489,                0.05432,                0.46825,                0.28371,                0.21193,                0.12054,                0.50786,                 1.0941,                 0.0299,               0.007822,               0.007822,               0.007822
                     68,                0.92161,                0.76891,                0.04989,                0.51298,                0.28383,                0.22481,                0.12581,                0.51442,                 1.0649,                0.02919,               0.007789,               0.007789,               0.007789
                     69,                0.92751,                0.77523,                0.05054,                0.52431,                0.26967,                0.21942,                0.11816,                0.54324,                 1.0426,                 0.0309,               0.007756,               0.007756,               0.007756
                     70,                0.99225,                0.73838,                0.05595,                0.47058,                0.28111,                0.20495,                0.11672,                0.53437,                 1.0561,                0.03173,               0.007723,               0.007723,               0.007723
                     71,                0.97346,                0.74276,                0.05301,                0.47571,                0.28121,                0.22508,                0.12433,                0.55712,                 1.0056,                0.03079,                0.00769,                0.00769,                0.00769
                     72,                0.92899,                0.76462,                0.05043,                0.52916,                0.29051,                0.24417,                0.14135,                0.51167,                  1.021,                0.02922,               0.007657,               0.007657,               0.007657
                     73,                0.95559,                0.74553,                0.05185,                0.47821,                0.28875,                0.23249,                 0.1328,                 0.5193,                  1.029,                0.02981,               0.007624,               0.007624,               0.007624
                     74,                0.97354,                0.73918,                0.05238,                0.48587,                0.28429,                0.22419,                0.12858,                0.51184,                 1.0349,                 0.0294,               0.007591,               0.007591,               0.007591
                     75,                0.91832,                0.76821,                0.05078,                0.52906,                0.27558,                0.23445,                0.13122,                0.53134,                  1.011,                0.02987,               0.007558,               0.007558,               0.007558
                     76,                0.96554,                0.74635,                0.05204,                0.53121,                0.27868,                0.22727,                0.12844,                0.53212,                  1.038,                0.02948,               0.007525,               0.007525,               0.007525
                     77,                0.89178,                  0.793,                0.04721,                0.51381,                 0.2852,                0.23138,                0.13359,                0.50931,                 1.0505,                0.02817,               0.007492,               0.007492,               0.007492
                     78,                0.91297,                0.75952,                0.04617,                0.52457,                 0.2907,                0.24438,                0.13914,                0.51548,                 1.0262,                0.02825,               0.007459,               0.007459,               0.007459
                     79,                  1.114,                 0.6594,                0.06971,                0.50852,                0.28924,                0.23367,                0.12767,                0.53621,                 1.0564,                0.02995,               0.007426,               0.007426,               0.007426
                     80,                 1.1233,                0.64262,                 0.0701,                0.50013,                0.28745,                0.23183,                0.12732,                0.56749,                0.99289,                0.03346,               0.007393,               0.007393,               0.007393
                     81,                0.97344,                0.72386,                 0.0569,                0.48618,                 0.2965,                0.23896,                0.12629,                0.58155,                0.98905,                0.03272,                0.00736,                0.00736,                0.00736
                     82,                0.91836,                0.77817,                 0.0502,                 0.5096,                0.28559,                0.23504,                0.13604,                0.51628,                 1.0448,                0.02876,               0.007327,               0.007327,               0.007327
                     83,                0.91833,                0.75671,                0.04813,                0.53327,                0.29384,                0.24608,                0.14713,                0.49374,                 1.0291,                0.02757,               0.007294,               0.007294,               0.007294
                     84,                0.95935,                0.74984,                0.05278,                0.54049,                0.30104,                0.25555,                0.14792,                0.49933,                 1.0229,                0.02819,               0.007261,               0.007261,               0.007261
                     85,                0.96516,                0.73252,                0.05368,                0.56694,                0.29913,                0.26101,                0.15476,                0.48181,                 1.0361,                0.02731,               0.007228,               0.007228,               0.007228
                     86,                0.90534,                0.75871,                0.05043,                0.53916,                0.29975,                0.25682,                0.14876,                0.51397,                0.99898,                0.02818,               0.007195,               0.007195,               0.007195
                     87,                  1.019,                  0.693,                0.05409,                0.54637,                0.30881,                0.27221,                0.15293,                0.53266,                 0.9656,                 0.0296,               0.007162,               0.007162,               0.007162
                     88,                 1.2029,                0.60506,                0.07434,                0.48412,                0.31059,                0.24837,                0.12059,                0.59299,                 0.9354,                 0.0339,               0.007129,               0.007129,               0.007129
                     89,                0.99346,                0.71937,                0.05623,                0.47888,                0.31009,                0.24446,                0.13628,                0.52791,                0.99629,                0.03023,               0.007096,               0.007096,               0.007096
                     90,                0.96005,                0.73878,                0.05183,                0.53595,                0.30319,                0.24613,                0.14663,                0.50174,                 1.0189,                 0.0286,               0.007063,               0.007063,               0.007063
                     91,                0.96013,                0.73669,                0.04908,                0.53758,                0.29524,                0.26076,                0.15269,                0.50186,                 1.0154,                0.02882,                0.00703,                0.00703,                0.00703
                     92,                 1.0106,                 0.6947,                0.05344,                0.53339,                0.30374,                 0.2673,                0.15648,                0.49959,                 1.0109,                0.02864,               0.006997,               0.006997,               0.006997
                     93,                 1.2011,                0.61766,                0.07185,                 0.5047,                0.28953,                 0.2529,                0.13674,                0.56911,                0.95891,                0.03191,               0.006964,               0.006964,               0.006964
                     94,                0.98541,                0.73187,                  0.054,                0.46904,                0.28402,                0.24239,                0.12723,                0.59054,                0.95534,                0.03248,               0.006931,               0.006931,               0.006931
